Feature,Importance,Timestep,Feature_Index,Real_Feature,Feature_Family,Temporal_or_Base
timestep_1_feature_71,0.00067716214,1,71,Avg_Bytes_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_63,0.00067678606,10,63,Avg_Bwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_7_feature_88,0.0006716045,7,88,Avg_Packet_Length_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_6_feature_152,0.0006705598,6,152,Unique_Destination_Ports_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_91,0.0006641532,1,91,Avg_Packet_Length_Std_Diff1,Difference,Temporal / Behaviour
timestep_7_feature_32,0.00065985817,7,32,Avg_Flow_Duration_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_159,0.00065958675,7,159,Bwd_Fwd_Packet_Ratio,Behaviour Ratio,Temporal / Behaviour
timestep_7_feature_40,0.00065650616,7,40,Avg_Fwd_Packets_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_72,0.0006543201,4,72,Avg_Bytes_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_3_feature_32,0.0006487127,3,32,Avg_Flow_Duration_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_63,0.00064573676,9,63,Avg_Bwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_1_feature_66,0.0006455347,1,66,Avg_Bwd_Bytes_Slope5,Slope,Temporal / Behaviour
timestep_9_feature_144,0.00064424076,9,144,ACK_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_64,0.0006416681,9,64,Avg_Bwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_5_feature_103,0.00063676643,5,103,Avg_Fwd_Packets_Per_Second_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_152,0.0006365571,10,152,Unique_Destination_Ports_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_88,0.0006357125,9,88,Avg_Packet_Length_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_126,0.0006323434,1,126,RST_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_34,0.00062453485,5,34,Avg_Flow_Duration_Slope5,Slope,Temporal / Behaviour
timestep_9_feature_54,0.00062452443,9,54,Avg_Fwd_Bytes_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_55,0.0006234404,5,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_1_feature_151,0.00062286964,1,151,Unique_Destination_Ports_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_9_feature_57,0.00062252313,9,57,Avg_Fwd_Bytes_ZScore5,Z-Score,Temporal / Behaviour
timestep_8_feature_130,0.00061937014,8,130,RST_Count_Slope5,Slope,Temporal / Behaviour
timestep_5_feature_102,0.00061669416,5,102,Avg_Fwd_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_1_feature_128,0.00061662693,1,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_5_feature_84,0.00061143644,5,84,Avg_Packet_Length_Diff5,Difference,Temporal / Behaviour
timestep_1_feature_144,0.00061009603,1,144,ACK_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_3_feature_124,0.0006099288,3,124,RST_Count_Diff5,Difference,Temporal / Behaviour
timestep_8_feature_99,0.0006092756,8,99,Avg_Fwd_Packets_Per_Second_Diff1,Difference,Temporal / Behaviour
timestep_5_feature_128,0.00060821505,5,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_66,0.0006021595,9,66,Avg_Bwd_Bytes_Slope5,Slope,Temporal / Behaviour
timestep_5_feature_88,0.0005936633,5,88,Avg_Packet_Length_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_80,0.0005898274,9,80,Avg_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_6_feature_97,0.0005895047,6,97,Avg_Packet_Length_Std_ZScore5,Z-Score,Temporal / Behaviour
timestep_2_feature_126,0.0005886081,2,126,RST_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_4_feature_32,0.00058741716,4,32,Avg_Flow_Duration_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_8_feature_126,0.00058080896,8,126,RST_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_8_feature_67,0.00057985634,8,67,Avg_Bytes_Per_Second_Diff1,Difference,Temporal / Behaviour
timestep_7_feature_126,0.00057898107,7,126,RST_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_1_feature_110,0.0005738692,1,110,Avg_Bwd_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_3_feature_128,0.0005725167,3,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_1_feature_55,0.0005718914,1,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_6_feature_132,0.00056178425,6,132,PSH_Count_Diff5,Difference,Temporal / Behaviour
timestep_8_feature_81,0.0005551504,8,81,Avg_Packets_Per_Second_ZScore5,Z-Score,Temporal / Behaviour
timestep_2_feature_160,0.0005535234,2,160,Bwd_Fwd_Byte_Ratio,Behaviour Ratio,Temporal / Behaviour
timestep_3_feature_110,0.00055258087,3,110,Avg_Bwd_Packets_Per_Second_PctChange5,Percentage Change,Temporal / Behaviour
timestep_2_feature_39,0.00055133057,2,39,Avg_Fwd_Packets_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_1_feature_54,0.0005452124,1,54,Avg_Fwd_Bytes_PctChange5,Percentage Change,Temporal / Behaviour
timestep_5_feature_130,0.0005443137,5,130,RST_Count_Slope5,Slope,Temporal / Behaviour
timestep_3_feature_159,0.0005420847,3,159,Bwd_Fwd_Packet_Ratio,Behaviour Ratio,Temporal / Behaviour
timestep_10_feature_56,0.0005407572,10,56,Avg_Fwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_7_feature_64,0.0005383083,7,64,Avg_Bwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
