Model,Threshold,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Attack_Predictions
Enhanced XGBoost,0.4,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.41000000000000003,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.42000000000000004,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.43,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.44,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.45,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.46,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.47000000000000003,0.6647398843930635,0.9090909090909091,0.0546448087431694,0.10309278350515463,335,1,173,10,11
Enhanced XGBoost,0.48000000000000004,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.49,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.5,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.51,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.52,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.53,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.54,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.55,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.56,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.5700000000000001,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.5800000000000001,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.59,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.6,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.61,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.62,0.6666666666666666,1.0,0.0546448087431694,0.10362694300518134,336,0,173,10,10
Enhanced XGBoost,0.63,0.6647398843930635,1.0,0.04918032786885246,0.09375,336,0,174,9,9
Enhanced XGBoost,0.64,0.6647398843930635,1.0,0.04918032786885246,0.09375,336,0,174,9,9
Enhanced XGBoost,0.65,0.6647398843930635,1.0,0.04918032786885246,0.09375,336,0,174,9,9
Enhanced XGBoost,0.66,0.6647398843930635,1.0,0.04918032786885246,0.09375,336,0,174,9,9
Enhanced XGBoost,0.67,0.6647398843930635,1.0,0.04918032786885246,0.09375,336,0,174,9,9
Enhanced XGBoost,0.68,0.6647398843930635,1.0,0.04918032786885246,0.09375,336,0,174,9,9
Enhanced XGBoost,0.6900000000000001,0.6647398843930635,1.0,0.04918032786885246,0.09375,336,0,174,9,9
Enhanced XGBoost,0.7000000000000001,0.6628131021194605,1.0,0.04371584699453552,0.08376963350785341,336,0,175,8,8
Enhanced XGBoost,0.7100000000000001,0.6628131021194605,1.0,0.04371584699453552,0.08376963350785341,336,0,175,8,8
Enhanced XGBoost,0.72,0.6628131021194605,1.0,0.04371584699453552,0.08376963350785341,336,0,175,8,8
Enhanced XGBoost,0.73,0.6628131021194605,1.0,0.04371584699453552,0.08376963350785341,336,0,175,8,8
Enhanced XGBoost,0.74,0.6628131021194605,1.0,0.04371584699453552,0.08376963350785341,336,0,175,8,8
Enhanced XGBoost,0.75,0.6628131021194605,1.0,0.04371584699453552,0.08376963350785341,336,0,175,8,8
Enhanced XGBoost,0.76,0.6628131021194605,1.0,0.04371584699453552,0.08376963350785341,336,0,175,8,8
Enhanced XGBoost,0.77,0.6628131021194605,1.0,0.04371584699453552,0.08376963350785341,336,0,175,8,8
Enhanced XGBoost,0.78,0.6608863198458574,1.0,0.03825136612021858,0.07368421052631578,336,0,176,7,7
Enhanced XGBoost,0.79,0.6608863198458574,1.0,0.03825136612021858,0.07368421052631578,336,0,176,7,7
Enhanced XGBoost,0.8,0.6589595375722543,1.0,0.03278688524590164,0.06349206349206349,336,0,177,6,6
Enhanced XGBoost,0.81,0.6589595375722543,1.0,0.03278688524590164,0.06349206349206349,336,0,177,6,6
Enhanced XGBoost,0.8200000000000001,0.6589595375722543,1.0,0.03278688524590164,0.06349206349206349,336,0,177,6,6
Enhanced XGBoost,0.8300000000000001,0.6589595375722543,1.0,0.03278688524590164,0.06349206349206349,336,0,177,6,6
Enhanced XGBoost,0.8400000000000001,0.6589595375722543,1.0,0.03278688524590164,0.06349206349206349,336,0,177,6,6
Enhanced XGBoost,0.85,0.6589595375722543,1.0,0.03278688524590164,0.06349206349206349,336,0,177,6,6
Enhanced XGBoost,0.86,0.6570327552986512,1.0,0.0273224043715847,0.05319148936170213,336,0,178,5,5
Enhanced XGBoost,0.87,0.6570327552986512,1.0,0.0273224043715847,0.05319148936170213,336,0,178,5,5
Enhanced XGBoost,0.88,0.6551059730250481,1.0,0.02185792349726776,0.0427807486631016,336,0,179,4,4
Enhanced XGBoost,0.89,0.6551059730250481,1.0,0.02185792349726776,0.0427807486631016,336,0,179,4,4
Enhanced XGBoost,0.9,0.653179190751445,1.0,0.01639344262295082,0.03225806451612903,336,0,180,3,3
Enhanced XGBoost,0.91,0.651252408477842,1.0,0.01092896174863388,0.021621621621621623,336,0,181,2,2
Enhanced XGBoost,0.92,0.649325626204239,1.0,0.00546448087431694,0.010869565217391304,336,0,182,1,1
Enhanced XGBoost,0.93,0.6473988439306358,0.0,0.0,0.0,336,0,183,0,0
Enhanced XGBoost,0.9400000000000001,0.6473988439306358,0.0,0.0,0.0,336,0,183,0,0
Enhanced XGBoost,0.9500000000000001,0.6473988439306358,0.0,0.0,0.0,336,0,183,0,0
Enhanced XGBoost,0.9600000000000001,0.6473988439306358,0.0,0.0,0.0,336,0,183,0,0
Enhanced XGBoost,0.97,0.6473988439306358,0.0,0.0,0.0,336,0,183,0,0
Enhanced XGBoost,0.98,0.6473988439306358,0.0,0.0,0.0,336,0,183,0,0
Enhanced XGBoost,0.99,0.6473988439306358,0.0,0.0,0.0,336,0,183,0,0
