Model,Curve,X,Y,Threshold
Original XGBoost,ROC,0.9941002949852508,1.0,0.009498755
Original XGBoost,ROC,1.0,1.0,0.0070363763
Original XGBoost,PR,1.0,0.3505747126436782,0.0070363763
Original XGBoost,PR,1.0,0.3512476007677543,0.009428795
Original XGBoost,PR,1.0,0.35192307692307695,0.009498755
Original XGBoost,PR,0.994535519125683,0.35067437379576105,0.009611068
Original XGBoost,PR,0.9890710382513661,0.34942084942084944,0.009728237
Original XGBoost,PR,0.9890710382513661,0.35009671179883944,0.009802534
Original XGBoost,PR,0.9836065573770492,0.3488372093023256,0.010018639
Original XGBoost,PR,0.9836065573770492,0.34951456310679613,0.010864409
Original XGBoost,PR,0.9836065573770492,0.35019455252918286,0.0117131295
Original XGBoost,PR,0.9781420765027322,0.3489278752436647,0.012624456
Original XGBoost,PR,0.9781420765027322,0.349609375,0.012806998
Original XGBoost,PR,0.9726775956284153,0.34833659491193736,0.012913093
Original XGBoost,PR,0.9672131147540983,0.34705882352941175,0.013024064
Original XGBoost,PR,0.9672131147540983,0.3477406679764244,0.013078643
Original XGBoost,PR,0.9672131147540983,0.3484251968503937,0.013105905
Original XGBoost,PR,0.9672131147540983,0.34911242603550297,0.013304211
Original XGBoost,PR,0.9672131147540983,0.34980237154150196,0.013318554
Original XGBoost,PR,0.9672131147540983,0.3504950495049505,0.013673095
Original XGBoost,PR,0.9672131147540983,0.35119047619047616,0.013770552
Original XGBoost,PR,0.9672131147540983,0.3518886679920477,0.014288695
Original XGBoost,PR,0.9672131147540983,0.35258964143426297,0.0144479815
Original XGBoost,PR,0.9672131147540983,0.3532934131736527,0.014742065
Original XGBoost,PR,0.9672131147540983,0.354,0.015188584
Original XGBoost,PR,0.9672131147540983,0.35470941883767537,0.015480244
Original XGBoost,PR,0.9672131147540983,0.35542168674698793,0.015664626
Original XGBoost,PR,0.9672131147540983,0.3561368209255533,0.01567582
Original XGBoost,PR,0.9617486338797814,0.3548387096774194,0.015694322
Original XGBoost,PR,0.9617486338797814,0.35555555555555557,0.015869517
Original XGBoost,PR,0.9617486338797814,0.3562753036437247,0.015883217
Original XGBoost,PR,0.9562841530054644,0.35496957403651114,0.016034639
Original XGBoost,PR,0.9562841530054644,0.3556910569105691,0.016115412
Original XGBoost,PR,0.9562841530054644,0.3564154786150713,0.016343402
Original XGBoost,PR,0.9562841530054644,0.35714285714285715,0.016359745
Original XGBoost,PR,0.9508196721311475,0.3558282208588957,0.016511854
Original XGBoost,PR,0.9508196721311475,0.35655737704918034,0.016673777
Original XGBoost,PR,0.9508196721311475,0.35728952772073924,0.016765757
Original XGBoost,PR,0.9508196721311475,0.35802469135802467,0.016838219
Original XGBoost,PR,0.9453551912568307,0.35670103092783506,0.016883787
Original XGBoost,PR,0.9453551912568307,0.3574380165289256,0.016985493
Original XGBoost,PR,0.9453551912568307,0.3581780538302277,0.01699975
Original XGBoost,PR,0.9398907103825137,0.35684647302904565,0.017050894
Original XGBoost,PR,0.9398907103825137,0.3575883575883576,0.017229507
Original XGBoost,PR,0.9398907103825137,0.35833333333333334,0.017274352
Original XGBoost,PR,0.9398907103825137,0.35908141962421714,0.017357526
Original XGBoost,PR,0.9398907103825137,0.3598326359832636,0.017594397
Original XGBoost,PR,0.9398907103825137,0.36058700209643607,0.017598717
Original XGBoost,PR,0.9398907103825137,0.36134453781512604,0.017605502
Original XGBoost,PR,0.9398907103825137,0.36210526315789476,0.017612852
Original XGBoost,PR,0.9398907103825137,0.3628691983122363,0.017642051
Original XGBoost,PR,0.9398907103825137,0.36363636363636365,0.017915793
Original XGBoost,PR,0.9398907103825137,0.3644067796610169,0.018055085
Original XGBoost,PR,0.9398907103825137,0.3651804670912951,0.018228535
Original XGBoost,PR,0.9398907103825137,0.3659574468085106,0.018471912
Original XGBoost,PR,0.9398907103825137,0.36673773987206826,0.018591035
Original XGBoost,PR,0.9344262295081968,0.36538461538461536,0.018862393
Original XGBoost,PR,0.9344262295081968,0.36616702355460384,0.019214066
Original XGBoost,PR,0.9344262295081968,0.3669527896995708,0.019284142
Original XGBoost,PR,0.9344262295081968,0.36774193548387096,0.019379333
Original XGBoost,PR,0.9289617486338798,0.36637931034482757,0.01945461
Original XGBoost,PR,0.9289617486338798,0.367170626349892,0.019583127
Original XGBoost,PR,0.9289617486338798,0.36796536796536794,0.019597162
Original XGBoost,PR,0.9289617486338798,0.368763557483731,0.019696852
Original XGBoost,PR,0.9289617486338798,0.3695652173913043,0.019711714
Original XGBoost,PR,0.9289617486338798,0.37037037037037035,0.019847278
Original XGBoost,PR,0.9289617486338798,0.37117903930131,0.01986576
Original XGBoost,PR,0.9289617486338798,0.37199124726477023,0.020016761
Original XGBoost,PR,0.9289617486338798,0.37280701754385964,0.020076826
Original XGBoost,PR,0.9289617486338798,0.37362637362637363,0.020170446
Original XGBoost,PR,0.9289617486338798,0.3744493392070485,0.020249426
Original XGBoost,PR,0.9234972677595629,0.3730684326710817,0.020359712
Original XGBoost,PR,0.9234972677595629,0.37389380530973454,0.020447748
Original XGBoost,PR,0.9234972677595629,0.37472283813747226,0.020656355
Original XGBoost,PR,0.9234972677595629,0.37555555555555553,0.020758748
Original XGBoost,PR,0.9234972677595629,0.37639198218262804,0.021265646
Original XGBoost,PR,0.9180327868852459,0.375,0.021325374
Original XGBoost,PR,0.912568306010929,0.37360178970917224,0.021362342
Original XGBoost,PR,0.912568306010929,0.3744394618834081,0.021679385
Original XGBoost,PR,0.912568306010929,0.3752808988764045,0.021728935
Original XGBoost,PR,0.912568306010929,0.3761261261261261,0.021872574
Original XGBoost,PR,0.912568306010929,0.37697516930022573,0.022010883
Original XGBoost,PR,0.907103825136612,0.3755656108597285,0.022014357
Original XGBoost,PR,0.9016393442622951,0.3741496598639456,0.022146063
Original XGBoost,PR,0.9016393442622951,0.375,0.022434168
Original XGBoost,PR,0.9016393442622951,0.37585421412300685,0.022539683
Original XGBoost,PR,0.9016393442622951,0.3767123287671233,0.02299753
Original XGBoost,PR,0.8961748633879781,0.37528604118993136,0.023059517
Original XGBoost,PR,0.8961748633879781,0.3761467889908257,0.023372628
Original XGBoost,PR,0.8961748633879781,0.37701149425287356,0.023431785
Original XGBoost,PR,0.8961748633879781,0.3778801843317972,0.02343603
Original XGBoost,PR,0.8961748633879781,0.3787528868360277,0.02348618
Original XGBoost,PR,0.8961748633879781,0.37962962962962965,0.023593904
Original XGBoost,PR,0.8961748633879781,0.3805104408352668,0.02370342
Original XGBoost,PR,0.8907103825136612,0.37906976744186044,0.024075402
Original XGBoost,PR,0.8907103825136612,0.37995337995337997,0.024192465
Original XGBoost,PR,0.8907103825136612,0.3808411214953271,0.024240606
Original XGBoost,PR,0.8907103825136612,0.38173302107728335,0.024251346
Original XGBoost,PR,0.8852459016393442,0.38028169014084506,0.024255302
Original XGBoost,PR,0.8797814207650273,0.3788235294117647,0.024338493
Original XGBoost,PR,0.8797814207650273,0.37971698113207547,0.024371069
Original XGBoost,PR,0.8797814207650273,0.3806146572104019,0.024452953
Original XGBoost,PR,0.8797814207650273,0.3815165876777251,0.024612555
Original XGBoost,PR,0.8797814207650273,0.3824228028503563,0.024811585
Original XGBoost,PR,0.8743169398907104,0.38095238095238093,0.024873437
Original XGBoost,PR,0.8743169398907104,0.3818615751789976,0.024873756
Original XGBoost,PR,0.8743169398907104,0.3827751196172249,0.02493714
